"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 28 21:43:36 GMT 2024","Wed Feb 28 21:44:26 GMT 2024","50421","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 05:41:35 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试失败，失败用例条数：1
"
"passed","Wed Feb 28 21:52:34 GMT 2024","Wed Feb 28 21:54:20 GMT 2024","105844","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 05:41:35 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功
"
"failed","Wed Feb 28 21:44:26 GMT 2024","Wed Feb 28 21:44:49 GMT 2024","22472","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 05:41:35 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试失败，失败用例条数：108
"
"passed","Wed Feb 28 21:45:23 GMT 2024","Wed Feb 28 21:52:34 GMT 2024","431482","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 05:41:35 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功
"
"failed","Wed Feb 28 21:45:00 GMT 2024","Wed Feb 28 21:45:11 GMT 2024","11453","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 05:41:35 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试失败，失败用例条数：6
"
"passed","Wed Feb 28 21:45:11 GMT 2024","Wed Feb 28 21:45:23 GMT 2024","11238","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 05:41:35 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功
"
"passed","Wed Feb 28 21:44:49 GMT 2024","Wed Feb 28 21:45:00 GMT 2024","11341","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 05:41:35 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功
"
