"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 29 02:29:59 GMT 2024","Thu Feb 29 02:30:22 GMT 2024","22804","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 10:27:09 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试失败，失败用例条数：108
"
"passed","Thu Feb 29 02:30:56 GMT 2024","Thu Feb 29 02:38:07 GMT 2024","431026","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 10:27:09 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功
"
"failed","Thu Feb 29 02:28:54 GMT 2024","Thu Feb 29 02:29:59 GMT 2024","64296","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 10:27:09 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试失败，失败用例条数：1
"
"passed","Thu Feb 29 02:38:07 GMT 2024","Thu Feb 29 02:39:55 GMT 2024","107438","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 10:27:09 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功
"
"failed","Thu Feb 29 02:30:33 GMT 2024","Thu Feb 29 02:30:45 GMT 2024","11676","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 10:27:09 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试失败，失败用例条数：6
"
"passed","Thu Feb 29 02:30:45 GMT 2024","Thu Feb 29 02:30:56 GMT 2024","11430","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 10:27:09 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功
"
"passed","Thu Feb 29 02:30:22 GMT 2024","Thu Feb 29 02:30:33 GMT 2024","11537","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""x86_64"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""0d6e4e9edcb9379daaa5ca451d51ade0e0bceab1"",
""提交时间"": ""Thu Feb 29 10:27:09 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功
"
